Month,Longitude,Latitude,Outcome type
6/1/2015,-0.204078,51.596555,Suspect charged
6/1/2015,-0.143045,51.538162,Investigation complete; no suspect identified
6/1/2015,-0.143045,51.538162,Investigation complete; no suspect identified
6/1/2015,-0.200947,51.652745,Investigation complete; no suspect identified
6/1/2015,-0.199559,51.582287,Local resolution
6/1/2015,-0.140204,51.626899,Offender given a caution
6/1/2015,-0.20312,51.652985,Offender given a drugs possession warning
6/1/2015,-0.157948,51.551922,Investigation complete; no suspect identified
6/1/2015,-0.181624,51.415272,Offender given penalty notice
6/1/2015,-0.179367,51.404014,Offender given a caution
6/1/2015,-0.239555,51.402047,Investigation complete; no suspect identified
6/1/2015,-0.161684,51.40506,Offender given a caution
6/1/2015,-0.196355,51.41844,Suspect charged
6/1/2015,-0.196355,51.41844,Suspect charged
6/1/2015,-0.233611,51.408936,Suspect charged
6/1/2015,-0.207248,51.420109,Suspect charged
6/1/2015,-0.216058,51.398131,Investigation complete; no suspect identified
6/1/2015,-0.178853,51.4137,Investigation complete; no suspect identified
6/1/2015,-0.234919,51.411555,Investigation complete; no suspect identified
6/1/2015,-0.205514,51.419597,Investigation complete; no suspect identified
6/1/2015,-0.212393,51.420593,Investigation complete; no suspect identified
6/1/2015,-0.236308,51.406855,Offender given a caution
6/1/2015,-0.239555,51.402047,Suspect charged
6/1/2015,-0.188423,51.395342,Investigation complete; no suspect identified
6/1/2015,-0.22971,51.407915,Investigation complete; no suspect identified
6/1/2015,-0.177087,51.41798,Investigation complete; no suspect identified
6/1/2015,-0.166708,51.407054,Suspect charged
6/1/2015,-0.229893,51.427009,Investigation complete; no suspect identified
6/1/2015,-0.229893,51.427009,Investigation complete; no suspect identified
6/1/2015,-0.171419,51.411516,Offender given a caution
6/1/2015,-0.201728,51.419683,Offender given a caution
6/1/2015,-0.170693,51.419616,Investigation complete; no suspect identified
6/1/2015,-0.19194,51.406026,Suspect charged
6/1/2015,-0.187102,51.390564,Investigation complete; no suspect identified
6/1/2015,-0.239555,51.402047,Suspect charged
6/1/2015,-0.128771,51.399117,Investigation complete; no suspect identified
6/1/2015,-0.188963,51.393669,Investigation complete; no suspect identified
6/1/2015,-0.205952,51.390045,Suspect charged
6/1/2015,-0.171925,51.415067,Offender given a caution
6/1/2015,-0.134867,51.416417,Suspect charged
6/1/2015,-0.11211,51.450045,Investigation complete; no suspect identified
6/1/2015,-0.130659,51.476897,Investigation complete; no suspect identified
6/1/2015,-0.132264,51.476023,Offender given a drugs possession warning
6/1/2015,-0.113053,51.46488,Suspect charged
6/1/2015,-0.119685,51.497899,Suspect charged
6/1/2015,-0.134596,51.466151,Offender given a caution
6/1/2015,-0.121868,51.454257,Offender given a drugs possession warning
6/1/2015,-0.116408,51.455419,Suspect charged
6/1/2015,-0.133257,51.437569,Investigation complete; no suspect identified
6/1/2015,-0.137567,51.424301,Suspect charged
6/1/2015,-0.117782,51.466817,Suspect charged
6/1/2015,-0.113283,51.461745,Investigation complete; no suspect identified
6/1/2015,-0.124711,51.451965,Suspect charged
6/1/2015,-0.137564,51.428249,Investigation complete; no suspect identified
6/1/2015,-0.12391,51.484478,Investigation complete; no suspect identified
6/1/2015,-0.147321,51.453763,Investigation complete; no suspect identified
6/1/2015,-0.123379,51.485486,Suspect charged
6/1/2015,-0.12391,51.484478,Investigation complete; no suspect identified
6/1/2015,-0.115967,51.462283,Investigation complete; no suspect identified
6/1/2015,-0.116748,51.462547,Investigation complete; no suspect identified
6/1/2015,-0.112314,51.462206,Investigation complete; no suspect identified
6/1/2015,-0.115635,51.503194,Offender given a caution
6/1/2015,-0.110633,51.445048,Investigation complete; no suspect identified
6/1/2015,-0.120042,51.44019,Investigation complete; no suspect identified
6/1/2015,-0.139949,51.452765,Investigation complete; no suspect identified
6/1/2015,-0.123348,51.451502,Investigation complete; no suspect identified
6/1/2015,-0.114389,51.505458,Investigation complete; no suspect identified
6/1/2015,-0.135904,51.45208,Investigation complete; no suspect identified
6/1/2015,-0.135904,51.45208,Investigation complete; no suspect identified
6/1/2015,-0.116247,51.461091,Investigation complete; no suspect identified
6/1/2015,-0.119263,51.460564,Investigation complete; no suspect identified
6/1/2015,-0.119263,51.460564,Investigation complete; no suspect identified
6/1/2015,-0.129637,51.428285,Investigation complete; no suspect identified
6/1/2015,-0.091002,51.423345,Investigation complete; no suspect identified
6/1/2015,-0.112179,51.442789,Investigation complete; no suspect identified
6/1/2015,-0.114727,51.464439,Investigation complete; no suspect identified
6/1/2015,-0.109067,51.505921,Investigation complete; no suspect identified
6/1/2015,-0.128299,51.437076,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.123379,51.485486,Investigation complete; no suspect identified
6/1/2015,-0.110512,51.465738,Investigation complete; no suspect identified
6/1/2015,-0.113981,51.494381,Investigation complete; no suspect identified
6/1/2015,-0.113981,51.494381,Investigation complete; no suspect identified
6/1/2015,-0.102727,51.461835,Investigation complete; no suspect identified
6/1/2015,-0.125527,51.415521,Investigation complete; no suspect identified
6/1/2015,-0.133128,51.449563,Investigation complete; no suspect identified
6/1/2015,-0.098587,51.427398,Investigation complete; no suspect identified
6/1/2015,-0.142729,51.469023,Investigation complete; no suspect identified
6/1/2015,-0.11065,51.50457,Investigation complete; no suspect identified
6/1/2015,-0.139465,51.456183,Investigation complete; no suspect identified
6/1/2015,-0.142729,51.469023,Investigation complete; no suspect identified
6/1/2015,-0.123738,51.487964,Investigation complete; no suspect identified
6/1/2015,-0.112179,51.442789,Investigation complete; no suspect identified
6/1/2015,-0.118181,51.468298,Investigation complete; no suspect identified
6/1/2015,-0.104128,51.469025,Investigation complete; no suspect identified
6/1/2015,-0.135903,51.462341,Investigation complete; no suspect identified
6/1/2015,-0.12397,51.455307,Investigation complete; no suspect identified
6/1/2015,-0.123022,51.475597,Investigation complete; no suspect identified
6/1/2015,-0.119685,51.497899,Investigation complete; no suspect identified
6/1/2015,-0.110473,51.444371,Investigation complete; no suspect identified
6/1/2015,-0.115861,51.469403,Investigation complete; no suspect identified
6/1/2015,-0.123681,51.47603,Investigation complete; no suspect identified
6/1/2015,-0.084508,51.423851,Investigation complete; no suspect identified
6/1/2015,-0.079422,51.503964,Investigation complete; no suspect identified
6/1/2015,-0.122905,51.478455,Investigation complete; no suspect identified
6/1/2015,-0.120074,51.479363,Investigation complete; no suspect identified
6/1/2015,-0.13749,51.461907,Investigation complete; no suspect identified
6/1/2015,-0.13749,51.461907,Investigation complete; no suspect identified
6/1/2015,-0.119263,51.460564,Investigation complete; no suspect identified
6/1/2015,-0.119267,51.50282,Investigation complete; no suspect identified
6/1/2015,-0.104572,51.476712,Investigation complete; no suspect identified
6/1/2015,-0.118343,51.478031,Investigation complete; no suspect identified
6/1/2015,-0.108428,51.428745,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.128297,51.464926,Investigation complete; no suspect identified
6/1/2015,-0.133628,51.462718,Investigation complete; no suspect identified
6/1/2015,-0.113053,51.46488,Investigation complete; no suspect identified
6/1/2015,-0.117101,51.430539,Investigation complete; no suspect identified
6/1/2015,-0.136354,51.463283,Investigation complete; no suspect identified
6/1/2015,-0.113719,51.465844,Investigation complete; no suspect identified
6/1/2015,-0.129584,51.43064,Investigation complete; no suspect identified
6/1/2015,-0.121983,51.436013,Investigation complete; no suspect identified
6/1/2015,-0.137567,51.424301,Investigation complete; no suspect identified
6/1/2015,-0.116298,51.482207,Investigation complete; no suspect identified
6/1/2015,-0.11491,51.42679,Investigation complete; no suspect identified
6/1/2015,-0.128515,51.446945,Investigation complete; no suspect identified
6/1/2015,-0.108863,51.503876,Investigation complete; no suspect identified
6/1/2015,-0.127845,51.473507,Investigation complete; no suspect identified
6/1/2015,-0.104167,51.47051,Investigation complete; no suspect identified
6/1/2015,-0.113474,51.454329,Investigation complete; no suspect identified
6/1/2015,-0.11074,51.479051,Investigation complete; no suspect identified
6/1/2015,-0.135876,51.44922,Investigation complete; no suspect identified
6/1/2015,-0.115779,51.45183,Investigation complete; no suspect identified
6/1/2015,-0.139949,51.452765,Investigation complete; no suspect identified
6/1/2015,-0.110804,51.503637,Investigation complete; no suspect identified
6/1/2015,-0.11575,51.507377,Investigation complete; no suspect identified
6/1/2015,-0.111846,51.438314,Investigation complete; no suspect identified
6/1/2015,-0.108493,51.460948,Investigation complete; no suspect identified
6/1/2015,-0.114552,51.462737,Investigation complete; no suspect identified
6/1/2015,-0.115341,51.478522,Investigation complete; no suspect identified
6/1/2015,-0.125511,51.48302,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.130497,51.445268,Investigation complete; no suspect identified
6/1/2015,-0.130497,51.445268,Investigation complete; no suspect identified
6/1/2015,-0.100238,51.461453,Investigation complete; no suspect identified
6/1/2015,-0.132085,51.475814,Investigation complete; no suspect identified
6/1/2015,-0.11287,51.500703,Investigation complete; no suspect identified
6/1/2015,-0.12391,51.484478,Investigation complete; no suspect identified
6/1/2015,-0.110633,51.445048,Investigation complete; no suspect identified
6/1/2015,-0.126975,51.480696,Investigation complete; no suspect identified
6/1/2015,-0.125421,51.437435,Investigation complete; no suspect identified
6/1/2015,-0.113527,51.473988,Investigation complete; no suspect identified
6/1/2015,-0.136063,51.436876,Investigation complete; no suspect identified
6/1/2015,-0.136063,51.436876,Investigation complete; no suspect identified
6/1/2015,-0.136063,51.436876,Investigation complete; no suspect identified
6/1/2015,-0.11949,51.485136,Investigation complete; no suspect identified
6/1/2015,-0.092716,51.471637,Investigation complete; no suspect identified
6/1/2015,-0.113968,51.462583,Suspect charged
6/1/2015,-0.113968,51.462583,Suspect charged
6/1/2015,-0.110073,51.472529,Suspect charged
6/1/2015,-0.128243,51.440555,Investigation complete; no suspect identified
6/1/2015,-0.117085,51.456114,Investigation complete; no suspect identified
6/1/2015,-0.117085,51.456114,Investigation complete; no suspect identified
6/1/2015,-0.115751,51.461236,Investigation complete; no suspect identified
6/1/2015,-0.133678,51.474184,Investigation complete; no suspect identified
6/1/2015,-0.125903,51.448153,Investigation complete; no suspect identified
6/1/2015,-0.12227,51.471826,Investigation complete; no suspect identified
6/1/2015,-0.132452,51.431909,Investigation complete; no suspect identified
6/1/2015,-0.139142,51.454919,Suspect charged
6/1/2015,-0.129503,51.432608,Investigation complete; no suspect identified
6/1/2015,-0.129001,51.471997,Suspect charged
6/1/2015,-0.113176,51.435017,Investigation complete; no suspect identified
6/1/2015,-0.123738,51.487964,Investigation complete; no suspect identified
6/1/2015,-0.108859,51.504326,Investigation complete; no suspect identified
6/1/2015,-0.108859,51.504326,Investigation complete; no suspect identified
6/1/2015,-0.129808,51.431129,Suspect charged
6/1/2015,-0.116905,51.502791,Investigation complete; no suspect identified
6/1/2015,-0.131665,51.464962,Investigation complete; no suspect identified
6/1/2015,-0.125904,51.436193,Investigation complete; no suspect identified
6/1/2015,-0.10957,51.498977,Investigation complete; no suspect identified
6/1/2015,-0.137982,51.462203,Investigation complete; no suspect identified
6/1/2015,-0.114389,51.505458,Suspect charged
6/1/2015,-0.113283,51.461745,Local resolution
6/1/2015,-0.118809,51.45794,Suspect charged
6/1/2015,-0.433351,51.479902,Local resolution
6/1/2015,-0.490059,51.471717,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.456103,51.470132,Investigation complete; no suspect identified
6/1/2015,-0.455481,51.471932,Investigation complete; no suspect identified
6/1/2015,-0.417281,51.509819,Suspect charged
6/1/2015,-0.477594,51.536443,Offender given a caution
6/1/2015,-0.411956,51.517076,Investigation complete; no suspect identified
6/1/2015,-0.383052,51.526599,Investigation complete; no suspect identified
6/1/2015,-0.475628,51.527542,Investigation complete; no suspect identified
6/1/2015,-0.413861,51.524466,Suspect charged
6/1/2015,-0.413741,51.573112,Investigation complete; no suspect identified
6/1/2015,-0.389152,51.51717,Investigation complete; no suspect identified
6/1/2015,-0.389152,51.51717,Investigation complete; no suspect identified
6/1/2015,-0.479225,51.548091,Suspect charged
6/1/2015,-0.396239,51.523022,Investigation complete; no suspect identified
6/1/2015,-0.408781,51.601919,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.416356,51.607084,Investigation complete; no suspect identified
6/1/2015,-0.438313,51.526458,Investigation complete; no suspect identified
6/1/2015,-0.478108,51.546557,Investigation complete; no suspect identified
6/1/2015,-0.478108,51.546557,Investigation complete; no suspect identified
6/1/2015,-0.480845,51.548795,Investigation complete; no suspect identified
6/1/2015,-0.480845,51.548795,Investigation complete; no suspect identified
6/1/2015,-0.480845,51.548795,Investigation complete; no suspect identified
6/1/2015,-0.480845,51.548795,Investigation complete; no suspect identified
6/1/2015,-0.413568,51.505093,Investigation complete; no suspect identified
6/1/2015,-0.43106,51.494637,Investigation complete; no suspect identified
6/1/2015,-0.478701,51.546924,Investigation complete; no suspect identified
6/1/2015,-0.481994,51.546364,Investigation complete; no suspect identified
6/1/2015,-0.396657,51.525069,Investigation complete; no suspect identified
6/1/2015,-0.413568,51.505093,Investigation complete; no suspect identified
6/1/2015,-0.472275,51.508408,Investigation complete; no suspect identified
6/1/2015,-0.472856,51.532838,Investigation complete; no suspect identified
6/1/2015,-0.4125,51.606663,Investigation complete; no suspect identified
6/1/2015,-0.481994,51.546364,Investigation complete; no suspect identified
6/1/2015,-0.481994,51.546364,Investigation complete; no suspect identified
6/1/2015,-0.228398,51.545912,Investigation complete; no suspect identified
6/1/2015,-0.20794,51.544998,Investigation complete; no suspect identified
6/1/2015,-0.20794,51.544998,Investigation complete; no suspect identified
6/1/2015,-0.281596,51.585082,Investigation complete; no suspect identified
6/1/2015,-0.214677,51.555262,Investigation complete; no suspect identified
6/1/2015,-0.29983,51.559468,Investigation complete; no suspect identified
6/1/2015,-0.315217,51.581496,Investigation complete; no suspect identified
6/1/2015,-0.315217,51.581496,Investigation complete; no suspect identified
6/1/2015,-0.303538,51.585446,Investigation complete; no suspect identified
6/1/2015,-0.308445,51.572235,Investigation complete; no suspect identified
6/1/2015,-0.208059,51.541223,Investigation complete; no suspect identified
6/1/2015,-0.208059,51.541223,Investigation complete; no suspect identified
6/1/2015,-0.251066,51.55992,Investigation complete; no suspect identified
6/1/2015,-0.31641,51.558196,Investigation complete; no suspect identified
6/1/2015,-0.31641,51.558196,Investigation complete; no suspect identified
6/1/2015,-0.262474,51.554343,Investigation complete; no suspect identified
6/1/2015,-0.218041,51.55704,Investigation complete; no suspect identified
6/1/2015,-0.246807,51.535982,Investigation complete; no suspect identified
6/1/2015,-0.244409,51.537987,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.262082,51.564238,Investigation complete; no suspect identified
6/1/2015,-0.241939,51.553804,Investigation complete; no suspect identified
6/1/2015,-0.311615,51.556796,Investigation complete; no suspect identified
6/1/2015,-0.203277,51.53303,Investigation complete; no suspect identified
6/1/2015,-0.314688,51.555222,Investigation complete; no suspect identified
6/1/2015,-0.273831,51.564115,Investigation complete; no suspect identified
6/1/2015,-0.237067,51.548479,Investigation complete; no suspect identified
6/1/2015,-0.19634,51.53126,Investigation complete; no suspect identified
6/1/2015,-0.19634,51.53126,Investigation complete; no suspect identified
6/1/2015,-0.279961,51.585202,Investigation complete; no suspect identified
6/1/2015,-0.278145,51.564484,Investigation complete; no suspect identified
6/1/2015,-0.223015,51.557466,Investigation complete; no suspect identified
6/1/2015,-0.279314,51.566398,Investigation complete; no suspect identified
6/1/2015,-0.281998,51.561807,Investigation complete; no suspect identified
6/1/2015,-0.281998,51.561807,Investigation complete; no suspect identified
6/1/2015,-0.297729,51.550841,Investigation complete; no suspect identified
6/1/2015,-0.282144,51.589298,Investigation complete; no suspect identified
6/1/2015,-0.282144,51.589298,Investigation complete; no suspect identified
6/1/2015,-0.253057,51.535455,Offender given a caution
6/1/2015,-0.265764,51.55164,Investigation complete; no suspect identified
6/1/2015,-0.267869,51.601012,Investigation complete; no suspect identified
6/1/2015,-0.220966,51.53383,Investigation complete; no suspect identified
6/1/2015,-0.296325,51.552888,Investigation complete; no suspect identified
6/1/2015,-0.216903,51.555881,Investigation complete; no suspect identified
6/1/2015,-0.214677,51.555262,Investigation complete; no suspect identified
6/1/2015,-0.196196,51.541096,Investigation complete; no suspect identified
6/1/2015,-0.25906,51.590478,Investigation complete; no suspect identified
6/1/2015,-0.298405,51.536589,Investigation complete; no suspect identified
6/1/2015,-0.196459,51.536621,Investigation complete; no suspect identified
6/1/2015,-0.253363,51.541763,Investigation complete; no suspect identified
6/1/2015,-0.26797,51.533059,Investigation complete; no suspect identified
6/1/2015,-0.26797,51.533059,Investigation complete; no suspect identified
6/1/2015,-0.237118,51.560979,Investigation complete; no suspect identified
6/1/2015,-0.244688,51.535222,Investigation complete; no suspect identified
6/1/2015,-0.216753,51.530952,Investigation complete; no suspect identified
6/1/2015,-0.271425,51.591794,Offender given penalty notice
6/1/2015,-0.297817,51.540366,Investigation complete; no suspect identified
6/1/2015,-0.238619,51.532208,Investigation complete; no suspect identified
6/1/2015,-0.24411,51.553602,Investigation complete; no suspect identified
6/1/2015,-0.226005,51.537351,Investigation complete; no suspect identified
6/1/2015,-0.327152,51.561866,Investigation complete; no suspect identified
6/1/2015,-0.278645,51.560795,Investigation complete; no suspect identified
6/1/2015,-0.315217,51.581496,Investigation complete; no suspect identified
6/1/2015,-0.248182,51.535472,Investigation complete; no suspect identified
6/1/2015,-0.248182,51.535472,Investigation complete; no suspect identified
6/1/2015,-0.26797,51.533059,Investigation complete; no suspect identified
6/1/2015,-0.258699,51.538344,Investigation complete; no suspect identified
6/1/2015,-0.27461,51.558011,Investigation complete; no suspect identified
6/1/2015,-0.241576,51.532927,Investigation complete; no suspect identified
6/1/2015,-0.218488,51.558504,Investigation complete; no suspect identified
6/1/2015,-0.245816,51.55013,Investigation complete; no suspect identified
6/1/2015,-0.24411,51.553602,Investigation complete; no suspect identified
6/1/2015,-0.24411,51.553602,Investigation complete; no suspect identified
6/1/2015,-0.250792,51.58549,Investigation complete; no suspect identified
6/1/2015,-0.262342,51.573693,Investigation complete; no suspect identified
6/1/2015,-0.225838,51.544623,Investigation complete; no suspect identified
6/1/2015,-0.246672,51.537248,Suspect charged
6/1/2015,-0.309488,51.556568,Investigation complete; no suspect identified
6/1/2015,-0.257822,51.543583,Investigation complete; no suspect identified
6/1/2015,-0.292458,51.55294,Investigation complete; no suspect identified
6/1/2015,-0.239671,51.536702,Suspect charged
6/1/2015,-0.246171,51.5409,Suspect charged
6/1/2015,-0.219463,51.529842,Suspect charged
6/1/2015,-0.239671,51.536702,Suspect charged
6/1/2015,-0.248618,51.584199,Investigation complete; no suspect identified
6/1/2015,-0.248618,51.584199,Investigation complete; no suspect identified
6/1/2015,-0.248618,51.584199,Investigation complete; no suspect identified
6/1/2015,-0.248618,51.584199,Investigation complete; no suspect identified
6/1/2015,-0.251805,51.544033,Suspect charged
6/1/2015,-0.248222,51.556964,Investigation complete; no suspect identified
6/1/2015,-0.246613,51.543676,Investigation complete; no suspect identified
6/1/2015,-0.250417,51.563291,Investigation complete; no suspect identified
6/1/2015,-0.246613,51.543676,Investigation complete; no suspect identified
6/1/2015,-0.259738,51.551191,Investigation complete; no suspect identified
6/1/2015,-0.259738,51.551191,Investigation complete; no suspect identified
6/1/2015,-0.251028,51.539102,Investigation complete; no suspect identified
6/1/2015,-0.249816,51.546251,Investigation complete; no suspect identified
6/1/2015,-0.249816,51.546251,Investigation complete; no suspect identified
6/1/2015,-0.218041,51.55704,Investigation complete; no suspect identified
6/1/2015,-0.218041,51.55704,Investigation complete; no suspect identified
6/1/2015,-0.217676,51.558617,Investigation complete; no suspect identified
6/1/2015,-0.268125,51.543043,Investigation complete; no suspect identified
6/1/2015,-0.230774,51.547863,Offender given a caution
6/1/2015,-0.230774,51.547863,Suspect charged
6/1/2015,-0.209612,51.540609,Investigation complete; no suspect identified
6/1/2015,-0.278962,51.562733,Investigation complete; no suspect identified
6/1/2015,-0.278962,51.562733,Investigation complete; no suspect identified
6/1/2015,-0.278962,51.562733,Investigation complete; no suspect identified
6/1/2015,-0.29771,51.54246,Investigation complete; no suspect identified
6/1/2015,-0.29771,51.54246,Investigation complete; no suspect identified
6/1/2015,-0.251275,51.546938,Investigation complete; no suspect identified
6/1/2015,-0.251801,51.534348,Investigation complete; no suspect identified
6/1/2015,-0.275394,51.560568,Investigation complete; no suspect identified
6/1/2015,-0.201008,51.543777,Investigation complete; no suspect identified
6/1/2015,-0.25556,51.574438,Investigation complete; no suspect identified
6/1/2015,-0.294385,51.553858,Investigation complete; no suspect identified
6/1/2015,-0.201436,51.534009,Investigation complete; no suspect identified
6/1/2015,-0.204972,51.540897,Investigation complete; no suspect identified
6/1/2015,-0.230082,51.546378,Investigation complete; no suspect identified
6/1/2015,-0.255749,51.54009,Investigation complete; no suspect identified
6/1/2015,-0.275835,51.564918,Investigation complete; no suspect identified
6/1/2015,-0.241501,51.565154,Investigation complete; no suspect identified
6/1/2015,-0.433532,51.506557,Investigation complete; no suspect identified
6/1/2015,-0.474198,51.509944,Investigation complete; no suspect identified
6/1/2015,-0.430815,51.616207,Investigation complete; no suspect identified
6/1/2015,-0.411937,51.512642,Investigation complete; no suspect identified
6/1/2015,-0.411937,51.512642,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.478108,51.546557,Investigation complete; no suspect identified
6/1/2015,-0.478108,51.546557,Investigation complete; no suspect identified
6/1/2015,-0.469821,51.506389,Investigation complete; no suspect identified
6/1/2015,-0.432965,51.502926,Investigation complete; no suspect identified
6/1/2015,-0.472856,51.532838,Investigation complete; no suspect identified
6/1/2015,-0.436464,51.516038,Investigation complete; no suspect identified
6/1/2015,-0.417886,51.506905,Investigation complete; no suspect identified
6/1/2015,-0.43621,51.569727,Investigation complete; no suspect identified
6/1/2015,-0.396469,51.544381,Investigation complete; no suspect identified
6/1/2015,-0.476841,51.543447,Investigation complete; no suspect identified
6/1/2015,-0.441562,51.542759,Investigation complete; no suspect identified
6/1/2015,-0.412287,51.51958,Investigation complete; no suspect identified
6/1/2015,-0.43536,51.503273,Investigation complete; no suspect identified
6/1/2015,-0.396235,51.514938,Suspect charged
6/1/2015,-0.40053,51.577438,Investigation complete; no suspect identified
6/1/2015,-0.437689,51.515623,Investigation complete; no suspect identified
6/1/2015,-0.4148,51.510307,Investigation complete; no suspect identified
6/1/2015,-0.472648,51.512774,Investigation complete; no suspect identified
6/1/2015,-0.457708,51.522857,Investigation complete; no suspect identified
6/1/2015,-0.477046,51.486322,Investigation complete; no suspect identified
6/1/2015,,,Investigation complete; no suspect identified
6/1/2015,-0.481804,51.603174,Suspect charged
6/1/2015,-0.399016,51.578631,Investigation complete; no suspect identified
6/1/2015,-0.469124,51.549947,Suspect charged
6/1/2015,-0.43106,51.494637,Investigation complete; no suspect identified
6/1/2015,-0.406684,51.517814,Investigation complete; no suspect identified
6/1/2015,-0.406684,51.517814,Investigation complete; no suspect identified
6/1/2015,-0.412311,51.481148,Investigation complete; no suspect identified
6/1/2015,-0.412311,51.481148,Investigation complete; no suspect identified
6/1/2015,-0.425302,51.495773,Investigation complete; no suspect identified
6/1/2015,-0.392756,51.525726,Investigation complete; no suspect identified
6/1/2015,-0.481613,51.547411,Suspect charged
6/1/2015,-0.419945,51.535276,Investigation complete; no suspect identified
6/1/2015,-0.482234,51.483638,Investigation complete; no suspect identified
6/1/2015,-0.407262,51.500008,Investigation complete; no suspect identified
6/1/2015,-0.468653,51.519295,Investigation complete; no suspect identified
6/1/2015,-0.448761,51.530382,Investigation complete; no suspect identified
6/1/2015,-0.461866,51.502131,Suspect charged
6/1/2015,-0.461866,51.502131,Suspect charged
6/1/2015,-0.461866,51.502131,Suspect charged
6/1/2015,-0.461866,51.502131,Suspect charged
6/1/2015,-0.461866,51.502131,Suspect charged
6/1/2015,-0.417718,51.564138,Investigation complete; no suspect identified
6/1/2015,-0.260055,51.461551,Investigation complete; no suspect identified
6/1/2015,-0.357457,51.412931,Offender given a caution
6/1/2015,-0.378137,51.45311,Investigation complete; no suspect identified
6/1/2015,-0.292099,51.488145,Investigation complete; no suspect identified
6/1/2015,-0.357996,51.451678,Suspect charged
6/1/2015,-0.303987,51.460837,Investigation complete; no suspect identified
6/1/2015,-0.375705,51.43162,Investigation complete; no suspect identified
6/1/2015,-0.384314,51.447323,Investigation complete; no suspect identified
6/1/2015,-0.370068,51.423062,Investigation complete; no suspect identified
6/1/2015,-0.307639,51.442284,Investigation complete; no suspect identified
6/1/2015,-0.337844,51.426377,Investigation complete; no suspect identified
6/1/2015,-0.305287,51.459939,Investigation complete; no suspect identified
6/1/2015,-0.314906,51.431715,Investigation complete; no suspect identified
6/1/2015,-0.327802,51.447708,Investigation complete; no suspect identified
6/1/2015,-0.305546,51.458018,Investigation complete; no suspect identified
6/1/2015,-0.280287,51.466733,Investigation complete; no suspect identified
6/1/2015,-0.263337,51.468758,Investigation complete; no suspect identified
6/1/2015,-0.268628,51.463998,Suspect charged
6/1/2015,-0.301918,51.461526,Suspect charged
6/1/2015,-0.303802,51.495716,Offender given a drugs possession warning
6/1/2015,-0.402234,51.446426,Offender given a drugs possession warning
6/1/2015,-0.368946,51.469114,Offender given a caution
6/1/2015,-0.274624,51.494733,Offender given a drugs possession warning
6/1/2015,-0.367956,51.466996,Investigation complete; no suspect identified
6/1/2015,-0.405331,51.478139,Investigation complete; no suspect identified
6/1/2015,-0.283328,51.491209,Investigation complete; no suspect identified
6/1/2015,-0.407262,51.500008,Investigation complete; no suspect identified
6/1/2015,-0.412388,51.444101,Investigation complete; no suspect identified
6/1/2015,-0.362051,51.468263,Investigation complete; no suspect identified
6/1/2015,-0.377138,51.441909,Investigation complete; no suspect identified
6/1/2015,-0.381008,51.464309,Investigation complete; no suspect identified
6/1/2015,-0.332058,51.473478,Investigation complete; no suspect identified
6/1/2015,-0.396474,51.472399,Investigation complete; no suspect identified
6/1/2015,-0.396474,51.472399,Investigation complete; no suspect identified
6/1/2015,-0.351419,51.481234,Offender given a caution
6/1/2015,-0.355865,51.47814,Investigation complete; no suspect identified
6/1/2015,-0.287851,51.488893,Investigation complete; no suspect identified
6/1/2015,-0.37312,51.484936,Investigation complete; no suspect identified
6/1/2015,-0.359413,51.469161,Investigation complete; no suspect identified
6/1/2015,-0.362051,51.468263,Investigation complete; no suspect identified
6/1/2015,-0.309371,51.483423,Investigation complete; no suspect identified
6/1/2015,-0.334138,51.46064,Investigation complete; no suspect identified
6/1/2015,-0.428962,51.453829,Investigation complete; no suspect identified
6/1/2015,-0.309371,51.483423,Investigation complete; no suspect identified
6/1/2015,-0.390379,51.442658,Investigation complete; no suspect identified
6/1/2015,-0.403986,51.446522,Investigation complete; no suspect identified
6/1/2015,-0.296756,51.487637,Investigation complete; no suspect identified
6/1/2015,-0.364338,51.469113,Investigation complete; no suspect identified
6/1/2015,-0.256214,51.486007,Investigation complete; no suspect identified
6/1/2015,-0.432575,51.46054,Investigation complete; no suspect identified
6/1/2015,-0.398566,51.445531,Investigation complete; no suspect identified
6/1/2015,-0.412388,51.444101,Investigation complete; no suspect identified
6/1/2015,-0.3588,51.469782,Investigation complete; no suspect identified
6/1/2015,-0.274508,51.495495,Investigation complete; no suspect identified
6/1/2015,-0.388436,51.440222,Investigation complete; no suspect identified
6/1/2015,-0.364832,51.467393,Investigation complete; no suspect identified
6/1/2015,-0.427651,51.436672,Investigation complete; no suspect identified
6/1/2015,-0.427651,51.436672,Investigation complete; no suspect identified
6/1/2015,-0.410235,51.447237,Investigation complete; no suspect identified
6/1/2015,-0.263147,51.49272,Investigation complete; no suspect identified
6/1/2015,-0.41012,51.480372,Investigation complete; no suspect identified
